time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-24 00:00:00+00:00,3,2,79,17
2024-11-25 00:00:00+00:00,4,2,172,37
2024-11-26 00:00:00+00:00,2,1,94,37
2024-11-27 00:00:00+00:00,3,2,143,44
2024-11-28 00:00:00+00:00,6,2,102,33
2024-11-29 00:00:00+00:00,5,2,76,25
2024-11-30 00:00:00+00:00,4,2,28,12
2024-12-01 00:00:00+00:00,4,2,39,11
2024-12-02 00:00:00+00:00,5,4,193,31
2024-12-03 00:00:00+00:00,2,2,123,35
2024-12-04 00:00:00+00:00,3,2,81,36
2024-12-05 00:00:00+00:00,5,3,98,29
2024-12-06 00:00:00+00:00,3,2,54,25
2024-12-07 00:00:00+00:00,3,2,59,14
