time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-16 00:00:00+00:00,19,15,162,39
2023-01-17 00:00:00+00:00,3,3,124,29
2023-01-18 00:00:00+00:00,8,6,95,33
2023-01-19 00:00:00+00:00,5,5,93,32
2023-01-20 00:00:00+00:00,10,8,70,30
2023-01-21 00:00:00+00:00,3,3,45,16
2023-01-22 00:00:00+00:00,3,3,27,14
2023-01-23 00:00:00+00:00,21,15,167,30
2023-01-24 00:00:00+00:00,9,7,69,26
2023-01-25 00:00:00+00:00,8,5,113,39
2023-01-26 00:00:00+00:00,206,13,350,169
2023-01-27 00:00:00+00:00,8,5,292,154
2023-01-28 00:00:00+00:00,8,6,70,45
2023-01-29 00:00:00+00:00,1,1,46,25
