time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-09 00:00:00+00:00,7,7,199,34
2024-02-10 00:00:00+00:00,5,5,205,16
2024-02-11 00:00:00+00:00,5,5,107,11
2024-02-12 00:00:00+00:00,7,7,292,40
2024-02-13 00:00:00+00:00,5,5,226,34
2024-02-14 00:00:00+00:00,4,4,370,44
2024-02-15 00:00:00+00:00,4,4,219,42
2024-02-16 00:00:00+00:00,5,5,303,35
2024-02-17 00:00:00+00:00,6,6,199,16
2024-02-18 00:00:00+00:00,4,4,40,11
2024-02-19 00:00:00+00:00,6,6,268,30
2024-02-20 00:00:00+00:00,5,5,312,49
2024-02-21 00:00:00+00:00,38,21,316,51
2024-02-22 00:00:00+00:00,7,7,245,41
