time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-10 00:00:00+00:00,5.0,5.0,163,25
2022-10-11 00:00:00+00:00,4.0,4.0,144,34
2022-10-12 00:00:00+00:00,5.0,5.0,65,31
2022-10-13 00:00:00+00:00,4.0,4.0,142,37
2022-10-14 00:00:00+00:00,3.0,3.0,48,24
2022-10-15 00:00:00+00:00,6.0,6.0,98,15
2022-10-16 00:00:00+00:00,3.0,3.0,75,14
2022-10-17 00:00:00+00:00,23.0,4.0,118,40
2022-10-18 00:00:00+00:00,4.0,4.0,117,38
2022-10-19 00:00:00+00:00,2.0,2.0,204,43
2022-10-20 00:00:00+00:00,6.0,5.0,210,43
2022-10-21 00:00:00+00:00,18.0,7.0,296,40
2022-10-22 00:00:00+00:00,5.0,5.0,130,13
2022-10-23 00:00:00+00:00,,,37,14
