time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-27 00:00:00+00:00,3,2,134,21
2024-12-28 00:00:00+00:00,4,3,55,17
2024-12-29 00:00:00+00:00,4,2,10,7
2024-12-30 00:00:00+00:00,2,2,44,23
2024-12-31 00:00:00+00:00,5,3,23,9
2025-01-01 00:00:00+00:00,3,3,21,9
2025-01-02 00:00:00+00:00,3,2,72,24
2025-01-03 00:00:00+00:00,6,6,82,24
2025-01-04 00:00:00+00:00,3,3,17,9
2025-01-05 00:00:00+00:00,3,3,37,14
2025-01-06 00:00:00+00:00,2,2,45,19
2025-01-07 00:00:00+00:00,6,4,133,36
2025-01-08 00:00:00+00:00,2,2,89,34
2025-01-09 00:00:00+00:00,1,1,70,21
