time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-22 00:00:00+00:00,4,4,126,40
2022-09-23 00:00:00+00:00,10,7,318,41
2022-09-24 00:00:00+00:00,6,6,129,16
2022-09-25 00:00:00+00:00,5,5,59,15
2022-09-26 00:00:00+00:00,6,5,106,39
2022-09-27 00:00:00+00:00,5,5,130,26
2022-09-28 00:00:00+00:00,10,6,175,43
2022-09-29 00:00:00+00:00,11,6,119,33
2022-09-30 00:00:00+00:00,8,6,183,39
2022-10-01 00:00:00+00:00,5,5,47,15
2022-10-02 00:00:00+00:00,2,2,25,12
2022-10-03 00:00:00+00:00,9,4,217,48
2022-10-04 00:00:00+00:00,10,7,267,78
2022-10-05 00:00:00+00:00,14,5,243,43
