time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-06 00:00:00+00:00,5,5,118,20
2023-01-07 00:00:00+00:00,5,5,134,15
2023-01-08 00:00:00+00:00,5,5,68,22
2023-01-09 00:00:00+00:00,15,8,92,26
2023-01-10 00:00:00+00:00,8,8,191,48
2023-01-11 00:00:00+00:00,7,6,210,58
2023-01-12 00:00:00+00:00,7,6,178,44
2023-01-13 00:00:00+00:00,23,16,98,40
2023-01-14 00:00:00+00:00,7,6,69,10
2023-01-15 00:00:00+00:00,6,5,108,19
2023-01-16 00:00:00+00:00,19,15,162,39
2023-01-17 00:00:00+00:00,3,3,124,29
2023-01-18 00:00:00+00:00,8,6,95,33
2023-01-19 00:00:00+00:00,2,2,89,31
